gene	rec_mean	orthogroup	freq
Ha412HOChr01:118042597-118043364	0.548057867617915	OG0003204	5
Ha412HOChr01:118266953-118274541	0.548024838155635	OG0020112	1
Ha412HOChr01:118309861-118330989	0.547991808693355	OG0000773	3
Ha412HOChr01:118512476-118518450	0.547958779231074	OG0002448	8
Ha412HOChr01:118624675-118633140	0.547925749768794	OG0001204	4
Ha412HOChr01:118643423-118643822	0.547892720306513	OG0026946	2
Ha412HOChr01:118644008-118657015	0.547859690844233	OG0008201	2
Ha412HOChr01:118697986-118704513	0.547826661381953	OG0001037	5
Ha412HOChr01:118814875-118816078	0.547793631919672	OG0003042	2
Ha412HOChr01:119043291-119048822	0.556612498348527	OG0003259	5
Ha412HOChr01:119151726-119152822	0.556579468886247	OG0003853	3
Ha412HOChr01:119225763-119228559	0.556546439423966	OG0003007	3
Ha412HOChr01:119247125-119260983	0.556513409961686	OG0001492	10
Ha412HOChr01:119491268-119499514	0.556480380499406	OG0001172	7
Ha412HOChr01:119532346-119536919	0.556447351037125	OG0001052	4
Ha412HOChr01:119549066-119552596	0.556414321574845	OG0013740	1
Ha412HOChr01:119578012-119594101	0.556381292112564	OG0008855	3
Ha412HOChr01:119775264-119775923	0.556348262650284	OG0017781	4
Ha412HOChr01:119804155-119809695	0.556315233188004	OG0007849	2
Ha412HOChr01:119934769-119936009	0.556282203725723	OG0001470	9
Ha412HOChr01:119940776-119943428	0.556249174263443	OG0026947	2
Ha412HOChr01:120080693-120081891	0.565827718324746	OG0001470	9
Ha412HOChr01:120106847-120108725	0.565794688862465	OG0001022	1
Ha412HOChr01:120251865-120253783	0.565761659400185	OG0001829	3
Ha412HOChr01:12034214-12034540	0.206434139252213	OG0026906	2
Ha412HOChr01:120346180-120350994	0.565728629937905	OG0000916	1
Ha412HOChr01:120365802-120366631	0.565695600475624	OG0002269	5
Ha412HOChr01:120366980-120367444	0.565662571013344	OG0000186	8
Ha412HOChr01:120372054-120372866	0.565629541551064	OG0000907	1
Ha412HOChr01:120412640-120418516	0.565596512088783	OG0008888	1
Ha412HOChr01:120622320-120625034	0.565563482626503	OG0007319	2
Ha412HOChr01:120715343-120719046	0.565530453164222	OG0003852	3
Ha412HOChr01:120772064-120778447	0.565497423701942	OG0009431	1
Ha412HOChr01:121287391-121289367	0.575835645395693	OG0009258	1
Ha412HOChr01:121356227-121357483	0.575802615933413	OG0000555	6
Ha412HOChr01:121379073-121385194	0.575769586471132	OG0002031	4
Ha412HOChr01:121399781-121405320	0.575736557008852	OG0002031	4
Ha412HOChr01:121493860-121501093	0.575703527546572	OG0007841	2
Ha412HOChr01:121537025-121541913	0.575670498084291	OG0007841	2
Ha412HOChr01:121760329-121780951	0.575637468622011	OG0012762	1
Ha412HOChr01:121873038-121875119	0.57560443915973	OG0015800	6
Ha412HOChr01:121978369-121983708	0.57557140969745	OG0011920	1
Ha412HOChr01:121985654-121989969	0.57553838023517	OG0010612	1
Ha412HOChr01:121992142-121995237	0.575505350772889	OG0022551	2
Ha412HOChr01:122003689-122007391	0.590203461487647	OG0015800	6
Ha412HOChr01:122276478-122278036	0.590170432025367	OG0015800	6
Ha412HOChr01:122753632-122754861	0.590137402563086	OG0008977	7
Ha412HOChr01:122841716-122843758	0.590104373100806	OG0008977	7
Ha412HOChr01:122977830-122982799	0.590071343638526	OG0002761	4
Ha412HOChr01:122983871-122987422	0.590038314176245	OG0016250	1
Ha412HOChr01:123229691-123230059	0.604174924032237	OG0017782	2
Ha412HOChr01:123302451-123314355	0.604141894569956	OG0009305	1
Ha412HOChr01:123372136-123377047	0.604108865107676	OG0008257	1
Ha412HOChr01:123375550-123381496	0.604075835645396	OG0008251	1
Ha412HOChr01:123816963-123821719	0.604042806183115	OG0004616	3
Ha412HOChr01:123827728-123836505	0.604009776720835	OG0010337	1
Ha412HOChr01:123860389-123864854	0.603976747258555	OG0011921	1
Ha412HOChr01:123897521-123900218	0.603943717796274	OG0002247	4
Ha412HOChr01:123977704-123982243	0.603910688333994	OG0009721	2
Ha412HOChr01:123993473-123995696	0.603877658871714	OG0015800	6
Ha412HOChr01:123998966-124000238	0.61104505218655	OG0015800	6
Ha412HOChr01:124001243-124005022	0.618773946360153	OG0006682	1
Ha412HOChr01:124007123-124009715	0.618740916897873	OG0010707	2
Ha412HOChr01:124150058-124155677	0.618707887435593	OG0002044	3
Ha412HOChr01:124183136-124185209	0.618674857973312	OG0009114	1
Ha412HOChr01:124214238-124217237	0.618641828511032	OG0005799	5
Ha412HOChr01:124332532-124336652	0.618608799048751	OG0005799	5
Ha412HOChr01:12434018-12434769	0.206401109789933	OG0010609	1
Ha412HOChr01:124429654-124432779	0.618575769586471	OG0005799	5
Ha412HOChr01:124460004-124464275	0.618542740124191	OG0009804	1
Ha412HOChr01:124464285-124468782	0.61850971066191	OG0010587	2
