Orthogroup	occurrences
OG0001251	15
OG0001252	14
OG0001253	11
OG0001254	8
OG0001255	11
OG0001256	18
OG0001257	12
OG0001258	10
OG0001259	9
OG0001260	16
OG0001261	12
OG0001262	15
OG0001263	15
OG0001264	18
OG0001265	11
OG0001266	9
OG0001267	18
OG0001268	13
OG0001269	30
OG0001270	11
OG0001271	28
OG0001272	19
OG0001273	9
OG0001274	13
OG0001275	18
OG0001276	8
OG0001277	11
OG0001278	13
OG0001279	10
OG0001280	10
OG0001281	10
OG0001282	15
OG0001283	11
OG0001284	19
OG0001285	11
OG0001286	13
OG0001287	15
OG0001288	16
OG0001289	21
OG0001290	36
OG0001291	32
OG0001292	34
OG0001293	34
OG0001294	37
OG0001295	26
OG0001296	33
OG0001297	34
OG0001298	29
OG0001299	37
OG0001300	37
OG0001301	26
OG0001302	30
OG0001303	9
OG0001304	12
OG0001305	35
OG0001306	11
OG0001307	10
OG0001308	17
OG0001309	18
OG0001310	22
OG0001311	14
OG0001312	19
OG0001313	11
OG0001314	23
OG0001315	13
OG0001316	14
OG0001317	12
OG0001318	22
OG0001319	21
OG0001320	15
OG0001321	14
OG0001322	15
OG0001323	11
OG0001324	18
OG0001325	18
OG0001326	10
OG0001327	21
OG0001328	11
OG0001329	12
OG0001330	11
OG0001331	11
OG0001332	11
OG0001333	15
OG0001334	11
OG0001335	10
OG0001336	15
OG0001337	11
OG0001338	12
OG0001339	16
OG0001340	11
OG0001341	14
OG0001342	12
OG0001343	11
OG0001344	12
OG0001345	10
OG0001346	18
OG0001347	12
OG0001348	15
OG0001349	13
OG0001350	20
OG0001351	10
OG0001352	11
OG0001353	13
OG0001354	16
OG0001355	13
OG0001356	17
OG0001357	13
OG0001358	9
OG0001359	15
OG0001360	9
OG0001361	12
OG0001362	11
OG0001363	18
OG0001364	9
OG0001365	14
OG0001366	8
OG0001367	15
OG0001368	13
OG0001369	11
OG0001370	18
OG0001371	14
OG0001372	16
OG0001373	12
OG0001374	12
OG0001375	9
OG0001376	9
OG0001377	14
OG0001378	12
OG0001379	11
OG0001380	10
OG0001381	31
OG0001382	10
OG0001383	15
OG0001384	16
OG0001385	28
OG0001386	25
OG0001387	26
OG0001388	35
OG0001389	36
OG0001390	36
OG0001391	36
OG0001392	36
OG0001393	36
OG0001394	36
OG0001395	11
OG0001396	8
OG0001397	13
OG0001398	9
OG0001399	9
OG0001400	11
OG0001401	18
OG0001402	13
OG0001403	8
OG0001404	18
OG0001405	19
OG0001406	9
OG0001407	14
OG0001408	10
OG0001409	17
OG0001410	11
OG0001411	17
OG0001412	18
OG0001413	18
OG0001414	11
OG0001415	10
OG0001416	14
OG0001417	13
OG0001418	8
OG0001419	28
OG0001420	9
OG0001421	9
OG0001422	11
OG0001423	12
OG0001424	13
OG0001425	13
OG0001426	12
OG0001427	11
OG0001428	15
OG0001429	11
OG0001430	11
OG0001431	9
OG0001432	16
OG0001433	14
OG0001434	11
OG0001435	11
OG0001436	16
OG0001437	14
OG0001438	7
OG0001439	14
OG0001440	12
OG0001441	10
OG0001442	8
OG0001443	13
OG0001444	16
OG0001445	16
OG0001446	13
OG0001447	12
OG0001448	16
OG0001449	10
OG0001450	15
OG0001451	22
OG0001452	11
OG0001453	17
OG0001454	8
OG0001455	12
OG0001456	10
OG0001457	18
OG0001458	12
OG0001459	8
OG0001460	13
OG0001461	14
OG0001462	17
OG0001463	15
OG0001464	11
OG0001465	18
OG0001466	11
OG0001467	12
OG0001468	15
OG0001469	11
OG0001470	11
OG0001471	18
OG0001472	22
OG0001473	35
OG0001474	24
OG0001475	35
OG0001476	35
OG0001477	35
OG0001478	35
OG0001479	35
OG0001480	35
OG0001481	35
OG0001482	35
OG0001483	35
OG0001484	31
OG0001485	19
OG0001486	7
OG0001487	17
OG0001488	13
OG0001489	9
OG0001490	11
OG0001491	18
OG0001492	14
OG0001493	18
OG0001494	10
OG0001495	11
OG0001496	11
OG0001497	12
OG0001498	13
OG0001499	7
OG0001500	10
OG0001501	8
OG0001502	10
OG0001503	15
OG0001504	10
OG0001505	16
OG0001506	17
OG0001507	10
OG0001508	6
OG0001509	23
OG0001510	16
OG0001511	15
OG0001512	11
OG0001513	15
OG0001514	6
OG0001515	13
OG0001516	8
OG0001517	9
OG0001518	9
OG0001519	11
OG0001520	12
OG0001521	11
OG0001522	12
OG0001523	13
OG0001524	11
OG0001525	10
OG0001526	18
OG0001527	11
OG0001528	13
OG0001529	14
OG0001530	13
OG0001531	13
OG0001532	14
OG0001533	7
OG0001534	9
OG0001535	11
OG0001536	12
OG0001537	22
OG0001538	7
OG0001539	8
OG0001540	15
OG0001541	11
OG0001542	7
OG0001543	7
OG0001544	16
OG0001545	12
OG0001546	8
OG0001547	21
OG0001548	11
OG0001549	11
OG0001550	10
OG0001551	10
OG0001552	10
OG0001553	7
OG0001554	12
OG0001555	10
OG0001556	11
OG0001557	11
OG0001558	13
OG0001559	16
OG0001560	18
OG0001561	12
OG0001562	15
OG0001563	15
OG0001564	12
OG0001565	10
OG0001566	10
OG0001567	15
OG0001568	11
OG0001569	18
OG0001570	20
OG0001571	18
OG0001572	15
OG0001573	14
OG0001574	33
OG0001575	23
OG0001576	30
OG0001577	33
OG0001578	30
OG0001579	24
OG0001580	26
OG0001581	34
OG0001582	19
OG0001583	34
OG0001584	34
OG0001585	34
OG0001586	34
OG0001587	34
OG0001588	34
OG0001589	33
OG0001590	34
OG0001591	34
OG0001592	34
OG0001593	34
OG0001594	33
OG0001595	9
OG0001596	13
OG0001597	8
OG0001598	6
OG0001599	21
OG0001600	11
OG0001601	11
OG0001602	7
OG0001603	8
OG0001604	12
OG0001605	9
OG0001606	33
OG0001607	7
OG0001608	7
OG0001609	23
OG0001610	12
OG0001611	8
OG0001612	14
OG0001613	9
OG0001614	9
OG0001615	8
OG0001616	25
OG0001617	9
OG0001618	14
OG0001619	7
OG0001620	14
OG0001621	10
OG0001622	6
OG0001623	14
OG0001624	9
OG0001625	7
OG0001626	9
OG0001627	11
OG0001628	14
OG0001629	16
OG0001630	20
OG0001631	9
OG0001632	16
OG0001633	11
OG0001634	31
OG0001635	16
OG0001636	13
OG0001637	8
OG0001638	11
OG0001639	28
OG0001640	18
OG0001641	10
OG0001642	18
OG0001643	7
OG0001644	9
OG0001645	13
OG0001646	8
OG0001647	8
OG0001648	12
OG0001649	9
OG0001650	13
OG0001651	18
OG0001652	10
OG0001653	15
OG0001654	17
OG0001655	11
OG0001656	18
OG0001657	11
OG0001658	11
OG0001659	11
OG0001660	8
OG0001661	14
OG0001662	15
OG0001663	12
OG0001664	9
OG0001665	9
OG0001666	13
OG0001667	12
OG0001668	12
OG0001669	9
OG0001670	9
OG0001671	9
OG0001672	14
OG0001673	8
OG0001674	9
OG0001675	7
OG0001676	17
OG0001677	9
OG0001678	11
OG0001679	9
OG0001680	13
OG0001681	14
OG0001682	8
OG0001683	10
OG0001684	14
OG0001685	11
OG0001686	8
OG0001687	8
OG0001688	12
OG0001689	8
OG0001690	9
OG0001691	9
OG0001692	10
OG0001693	12
OG0001694	12
OG0001695	11
OG0001696	13
OG0001697	20
OG0001698	10
OG0001699	9
OG0001700	12
OG0001701	13
OG0001702	9
OG0001703	15
OG0001704	12
OG0001705	12
OG0001706	11
OG0001707	14
OG0001708	11
OG0001709	16
OG0001710	24
OG0001711	8
OG0001712	29
